Year,Unemployment Rate: Monthly: Thailand,CPI: TC: Communication and Equipments,"GDP,Total",Consumer Price Index,M2: YoY: Monthly: Thailand,inflaton rate total 
1/1/2001,0.057,110.1,"$10,398.07 ",68.8,5.11756342,0.02
2/1/2001,0.043,110.1,"$10,515.85 ",69.1,4.96558862,0.06
3/1/2001,0.04,110.1,"$10,199.69 ",69.1,5.78795027,0
4/1/2001,0.041,110.1,"$9,641.65 ",69.6,6.2268122,0.07
5/1/2001,0.042,110.1,"$9,635.15 ",69.8,6.37171049,0.04
6/1/2001,0.024,110.1,"$9,690.75 ",69.6,5.99696226,-0.03
7/1/2001,0.024,110.1,"$9,586.43 ",69.6,5.72183234,0
8/1/2001,0.021,110.1,"$9,743.12 ",69.6,5.48181992,-0.01
9/1/2001,0.034,110.1,"$9,869.78 ",69.8,5.68263429,0.03
10/1/2001,0.032,110.1,"$10,208.53 ",69.5,4.85196136,-0.05
11/1/2001,0.024,110.1,"$10,286.57 ",69.3,5.87884093,-0.02
12/1/2001,0.018,110.1,"$10,393.99 ",69.1,5.77196313,-0.03
1/1/2002,0.042,110.1,"$10,826.59 ",69.3,3.81990906,0.02
2/1/2002,0.028,110.1,"$10,871.64 ",69.4,4.48258725,0.01
3/1/2002,0.027,110.1,"$10,981.45 ",69.5,4.0818402,0.03
4/1/2002,0.037,110.1,"$10,809.36 ",69.9,4.23380985,0.05
5/1/2002,0.03,110.1,"$10,967.35 ",70,4.26720524,0.01
6/1/2002,0.019,110,"$11,138.13 ",69.8,4.33061176,-0.02
7/1/2002,0.017,110,"$11,464.88 ",69.8,4.35266123,-0.01
8/1/2002,0.018,109.9,"$11,210.60 ",69.8,5.23170292,0.01
9/1/2002,0.02,109.9,"$11,027.49 ",70.1,0.76335403,0.04
10/1/2002,0.026,109.9,"$11,545.28 ",70.4,0.78872103,0.06
11/1/2002,0.015,109.9,"$11,621.96 ",70.2,1.06715236,-0.05
12/1/2002,0.014,109.8,"$11,631.21 ",70.2,1.305895,0.01
1/1/2003,0.034,109.8,"$12,264.04 ",70.8,3.40353824,0.09
2/1/2003,0.023,109.8,"$12,228.79 ",70.7,2.95846932,-0.02
3/1/2003,0.029,109.8,"$12,261.29 ",70.7,3.11158941,0.01
4/1/2003,0.027,109.8,"$11,840.91 ",71,2.29628321,0.04
5/1/2003,0.027,109.8,"$12,040.47 ",71.3,3.1864849,0.04
6/1/2003,0.021,109.8,"$12,197.03 ",71,2.99901842,-0.04
7/1/2003,0.014,109.8,"$12,423.37 ",71,2.92398367,0
8/1/2003,0.015,109.8,"$12,468.49 ",71.4,2.02222404,0.05
9/1/2003,0.018,109.3,"$12,829.92 ",71.3,6.16564483,-0.01
10/1/2003,0.025,108.4,"$13,920.56 ",71.4,6.02871474,0.01
11/1/2003,0.015,108.4,"$13,859.73 ",71.5,6.60120183,0.01
12/1/2003,0.015,108.4,"$13,925.99 ",71.5,6.24203137,0.01
1/1/2004,0.037,108.4,"$14,424.83 ",71.8,6.59955166,0.03
2/1/2004,0.024,108.4,"$14,427.90 ",72.3,6.65838451,0.07
3/1/2004,0.024,108.1,"$14,298.57 ",72.5,6.69237351,0.02
4/1/2004,0.028,108.1,"$14,221.46 ",72.8,8.25277738,0.06
5/1/2004,0.026,108.1,"$13,833.21 ",73.1,7.45248111,0.04
6/1/2004,0.021,108.1,"$13,742.81 ",73.3,6.60986259,0.02
7/1/2004,0.014,108.1,"$13,998.28 ",73.4,7.69479182,0.01
8/1/2004,0.015,108.1,"$13,816.59 ",73.6,7.20895149,0.05
9/1/2004,0.018,108.1,"$13,832.25 ",73.8,7.34946202,0.04
10/1/2004,0.016,108.1,"$14,989.87 ",73.8,7.361371,0
11/1/2004,0.015,108.1,"$15,366.35 ",73.6,6.33318616,-0.04
12/1/2004,0.015,108.1,"$15,797.07 ",73.6,5.78888857,0
1/1/2005,0.033,108.1,"$16,056.54 ",73.6,5.56234519,0.01
2/1/2005,0.023,108.1,"$16,178.95 ",74,5.71926268,0.06
3/1/2005,0.021,108.1,"$16,117.03 ",74.8,4.80619854,0.08
4/1/2005,0.022,106.3,"$15,424.62 ",75.3,3.59332465,0.08
5/1/2005,0.02,106.3,"$15,316.46 ",75.8,3.59718735,0.06
6/1/2005,0.019,106.3,"$14,898.59 ",76,4.17478203,0.03
7/1/2005,0.014,106.3,"$15,210.40 ",77.2,3.78230113,0.16
8/1/2005,0.014,106.3,"$15,420.37 ",77.7,4.4306475,0.07
9/1/2005,0.013,104.9,"$15,454.64 ",78.2,4.87268872,0.07
10/1/2005,0.018,104.9,"$16,438.42 ",78.5,4.51404142,0.03
11/1/2005,0.012,104.9,"$16,357.63 ",77.9,5.289308,-0.07
12/1/2005,0.014,101.6,"$16,366.11 ",77.8,6.0971795,-0.01
1/1/2006,0.022,101.6,"$17,835.75 ",78,7.46104263,0.02
2/1/2006,0.016,101.6,"$17,915.22 ",78.1,7.12281993,0.03
3/1/2006,0.018,101.6,"$18,097.47 ",79,8.55861382,0.1
4/1/2006,0.021,101.6,"$17,974.97 ",79.9,9.34305983,0.12
5/1/2006,0.014,101.5,"$17,977.43 ",80.5,10.05829197,0.07
6/1/2006,0.015,101.5,"$17,789.07 ",80.5,9.30866111,0
7/1/2006,0.011,101.5,"$18,213.85 ",80.7,9.29693419,0.02
8/1/2006,0.014,101.5,"$18,398.96 ",80.7,9.41253057,0.01
9/1/2006,0.012,101.5,"$18,477.61 ",80.4,8.59407343,-0.03
10/1/2006,0.017,101.5,"$19,356.17 ",80.8,8.86538255,0.04
11/1/2006,0.012,101.4,"$19,770.01 ",80.7,8.8843597,-0.01
12/1/2006,0.01,101.4,"$20,216.98 ",80.7,8.15116703,-0.01
1/1/2007,0.016,101.4,"$21,390.99 ",80.4,6.99306733,-0.03
2/1/2007,0.015,101.4,"$22,211.96 ",80.1,8.2328669,-0.04
3/1/2007,0.016,101.4,"$23,059.88 ",80.6,8.25601631,0.07
4/1/2007,0.017,101.4,"$22,489.46 ",81.3,8.03346304,0.1
5/1/2007,0.016,101.4,"$22,217.60 ",82,8.02722314,0.08
6/1/2007,0.014,101.3,"$22,561.41 ",82,8.06885688,0
7/1/2007,0.012,101.3,"$24,528.43 ",82,8.23004569,0
8/1/2007,0.012,101.3,"$23,441.18 ",81.5,7.24881058,-0.05
9/1/2007,0.012,101.3,"$23,250.76 ",82,6.92591405,0.06
10/1/2007,0.0141,101.2,"$25,320.93 ",82.7,7.14473547,0.09
11/1/2007,0.011,101.1,"$25,464.07 ",83.1,5.66044136,0.04
12/1/2007,0.0085,101.1,"$26,468.51 ",83.1,6.25265237,0.01
1/1/2008,0.0172,101.1,"$26,931.95 ",83.9,5.83446134,0.08
2/1/2008,0.0153,101,"$26,181.03 ",84.4,5.7252285,0.07
3/1/2008,0.0152,101,"$25,989.03 ",84.9,5.6555883,0.06
4/1/2008,0.0146,101,"$25,826.45 ",86.3,5.29779695,0.18
5/1/2008,0.0147,101,"$25,449.05 ",88.3,4.60570893,0.21
6/1/2008,0.0116,100.9,"$24,567.64 ",89.1,4.35879173,0.12
7/1/2008,0.013,100.9,"$24,542.37 ",89.5,2.89515764,0.03
8/1/2008,0.012,100.9,"$24,289.10 ",86.9,4.34770298,-0.3
9/1/2008,0.011,100.9,"$23,992.14 ",87,4.69521444,0.02
10/1/2008,0.012,100.9,"$22,747.63 ",85.9,5.30119344,-0.12
11/1/2008,0.014,100.9,"$22,348.91 ",84.9,7.30190694,-0.12
12/1/2008,0.014,100.9,"$22,365.76 ",83.5,9.16331586,-0.16
1/1/2009,0.024,100.8,"$22,550.96 ",83.5,9.33864754,0
2/1/2009,0.019,100.7,"$22,271.29 ",84.3,9.44327825,0.1
3/1/2009,0.019,100.7,"$22,004.62 ",84.7,8.94037369,0.05
4/1/2009,0.021,100.7,"$22,058.68 ",85.5,8.95950898,0.1
5/1/2009,0.017,100.7,"$22,555.36 ",85.3,9.1669461,-0.03
6/1/2009,0.014,100.7,"$22,899.54 ",85.6,9.01356241,0.04
7/1/2009,0.012,100.7,"$23,464.29 ",85.6,7.88788483,0
8/1/2009,0.012,100.7,"$23,480.64 ",85.9,7.55072247,0.04
9/1/2009,0.012,100.7,"$23,633.53 ",86.1,7.47102339,0.02
10/1/2009,0.011,100.7,"$25,567.65 ",86.2,6.92215511,0.02
11/1/2009,0.01,100.7,"$25,665.97 ",86.5,6.38084267,0.03
12/1/2009,0.009,100.7,"$25,710.49 ",86.4,6.76929872,-0.01
1/1/2010,0.014,100.65,"$27,761.44 ",86.92,5.55048622,0.06
2/1/2010,0.01,100.64,"$27,682.07 ",87.4,4.71633286,0.056
3/1/2010,0.01,100.64,"$28,219.50 ",87.6,6.09100859,0.023
