Year,Unemployment Rate: Monthly: Thailand,Consumer Price Index: YoY: Monthly: Thailand,Equity Market Index: Month End: SET,Consumer Price Index,CPI: TC: Communication and Equipments,inflaton rate total ,Expect inflation ARIMA
1/1/2001,0.057,1.47492625,332.77,68.8,110.1,0.02,-0.157891685
2/1/2001,0.043,1.46842878,325.2,69.1,110.1,0.06,-0.07812881
3/1/2001,0.04,1.46842878,291.94,69.1,110.1,0,-0.28878309
4/1/2001,0.041,2.50368189,300.63,69.6,110.1,0.07,0.186090145
5/1/2001,0.042,2.64705882,310.13,69.8,110.1,0.04,-0.177208523
6/1/2001,0.024,2.20264317,322.55,69.6,110.1,-0.03,-0.078856581
7/1/2001,0.024,2.05278592,297.69,69.6,110.1,0,0.48350332
8/1/2001,0.021,1.31004367,335.57,69.6,110.1,-0.01,0.074238119
9/1/2001,0.034,1.45348837,277.04,69.8,110.1,0.03,-0.054043068
10/1/2001,0.032,1.31195335,275.09,69.5,110.1,-0.05,-0.187487747
11/1/2001,0.024,0.87336245,302.62,69.3,110.1,-0.02,0.294625315
12/1/2001,0.018,0.58224163,303.85,69.1,110.1,-0.03,0.106420087
1/1/2002,0.042,0.72674419,340.82,69.3,110.1,0.02,-0.054641685
2/1/2002,0.028,0.4341534,371.81,69.4,110.1,0.01,-0.243810293
3/1/2002,0.027,0.5788712,373.95,69.5,110.1,0.03,-0.120784055
4/1/2002,0.037,0.43103448,371.42,69.9,110.1,0.05,-0.078006739
5/1/2002,0.03,0.28653295,407.96,70,110.1,0.01,-0.179763223
6/1/2002,0.019,0.28735632,389.1,69.8,110,-0.02,0.147643076
7/1/2002,0.017,0.28735632,376.02,69.8,110,-0.01,0.296956513
8/1/2002,0.018,0.28735632,361.16,69.8,109.9,0.01,0.043409865
9/1/2002,0.02,0.42979943,331.79,70.1,109.9,0.04,-0.147580698
10/1/2002,0.026,1.29496403,357.22,70.4,109.9,0.06,-0.234675129
11/1/2002,0.015,1.2987013,364.9,70.2,109.9,-0.05,-0.212525983
12/1/2002,0.014,1.5918958,356.48,70.2,109.8,0.01,0.5274843
1/1/2003,0.034,2.16450216,370.01,70.8,109.8,0.09,0.04601866
2/1/2003,0.023,1.87319885,361.32,70.7,109.8,-0.02,-0.646599803
3/1/2003,0.029,1.72661871,364.55,70.7,109.8,0.01,0.320028487
4/1/2003,0.027,1.57367668,374.63,71,109.8,0.04,0.217842632
5/1/2003,0.027,1.85714286,403.82,71.3,109.8,0.04,-0.272637568
6/1/2003,0.021,1.71919771,461.82,71,109.8,-0.04,-0.107043578
7/1/2003,0.014,1.71919771,484.11,71,109.8,0,0.434522944
8/1/2003,0.015,2.29226361,537.71,71.4,109.8,0.05,0.057714256
9/1/2003,0.018,1.71184023,578.98,71.3,109.3,-0.01,-0.418130003
10/1/2003,0.025,1.42045455,639.45,71.4,108.4,0.01,0.14879199
11/1/2003,0.015,1.85185185,646.03,71.5,108.4,0.01,0.099335964
12/1/2003,0.015,1.85185185,772.15,71.5,108.4,0.01,-0.074273535
1/1/2004,0.037,1.41242938,698.9,71.8,108.4,0.03,-0.003332408
2/1/2004,0.024,2.26308345,716.3,72.3,108.4,0.07,-0.112470514
3/1/2004,0.024,2.54596888,647.3,72.5,108.1,0.02,-0.291080818
4/1/2004,0.028,2.53521127,648.15,72.8,108.1,0.06,0.131053948
5/1/2004,0.026,2.52454418,641.05,73.1,108.1,0.04,-0.044029149
6/1/2004,0.021,3.23943662,646.64,73.3,108.1,0.02,-0.032812515
7/1/2004,0.014,3.38028169,636.7,73.4,108.1,0.01,0.178596851
8/1/2004,0.015,3.08123249,624.59,73.6,108.1,0.05,0.122685725
9/1/2004,0.018,3.50631136,644.67,73.8,108.1,0.04,-0.186355785
10/1/2004,0.016,3.36134454,628.16,73.8,108.1,0,-0.088145557
11/1/2004,0.015,2.93706294,656.73,73.6,108.1,-0.04,0.252458582
12/1/2004,0.015,2.93706294,668.1,73.6,108.1,0,0.355642021
1/1/2005,0.033,2.50696379,701.91,73.6,108.1,0.01,-0.082201914
2/1/2005,0.023,2.35131397,741.55,74,108.1,0.06,-0.19996849
3/1/2005,0.021,3.17241379,681.49,74.8,108.1,0.08,-0.310104994
4/1/2005,0.022,3.43406593,658.88,75.3,106.3,0.08,-0.284538016
5/1/2005,0.02,3.69357045,667.55,75.8,106.3,0.06,-0.069462766
6/1/2005,0.019,3.6834925,675.5,76,106.3,0.03,0.108837803
7/1/2005,0.014,5.17711172,675.67,77.2,106.3,0.16,0.231799536
8/1/2005,0.014,5.57065217,697.85,77.7,106.3,0.07,-0.60221689
9/1/2005,0.013,5.96205962,723.23,78.2,104.9,0.07,0.036704575
10/1/2005,0.018,6.36856369,682.62,78.5,104.9,0.03,0.317962902
11/1/2005,0.012,5.8423913,667.75,77.9,104.9,-0.07,0.217470164
12/1/2005,0.014,5.70652174,713.73,77.8,101.6,-0.01,0.677664178
