Year,Unemployment Rate: Monthly: Thailand,Consumer Price Index: YoY: Monthly: Thailand,Equity Market Index: Month End: SET,Equity Market Index :GAP,CPI: TC: Communication and Equipments,inflaton rate total ,Expect inflation ARIMA
1/1/2001,0.057,1.47492625,332.77,-19.9662,110.1,0.02,0.052624923
2/1/2001,0.043,1.46842878,325.2,-19.512,110.1,0.06,0.005824095
3/1/2001,0.04,1.46842878,291.94,-17.5164,110.1,0,0.026884338
4/1/2001,0.041,2.50368189,300.63,-18.0378,110.1,0.07,0.015383622
5/1/2001,0.042,2.64705882,310.13,-18.6078,110.1,0.04,0.02773676
6/1/2001,0.024,2.20264317,322.55,-19.353,110.1,-0.03,0.022497276
7/1/2001,0.024,2.05278592,297.69,-17.8614,110.1,0,0.021617598
8/1/2001,0.021,1.31004367,335.57,-20.1342,110.1,-0.01,0.025124703
9/1/2001,0.034,1.45348837,277.04,-16.6224,110.1,0.03,0.011539856
10/1/2001,0.032,1.31195335,275.09,-16.5054,110.1,-0.05,0.033954613
11/1/2001,0.024,0.87336245,302.62,-18.1572,110.1,-0.02,0.035994406
12/1/2001,0.018,0.58224163,303.85,-18.231,110.1,-0.03,0.024439435
1/1/2002,0.042,0.72674419,340.82,-20.4492,110.1,0.02,0.0324308
2/1/2002,0.028,0.4341534,371.81,-22.3086,110.1,0.01,0.023359253
3/1/2002,0.027,0.5788712,373.95,-22.437,110.1,0.03,0.024069549
4/1/2002,0.037,0.43103448,371.42,-22.2852,110.1,0.05,0.020888591
5/1/2002,0.03,0.28653295,407.96,-24.4776,110.1,0.01,0.022823151
6/1/2002,0.019,0.28735632,389.1,-23.346,110,-0.02,0.012748382
7/1/2002,0.017,0.28735632,376.02,-22.5612,110,-0.01,0.014670796
8/1/2002,0.018,0.28735632,361.16,-21.6696,109.9,0.01,0.021281342
9/1/2002,0.02,0.42979943,331.79,-19.9074,109.9,0.04,0.020353662
10/1/2002,0.026,1.29496403,357.22,-21.4332,109.9,0.06,0.033250411
11/1/2002,0.015,1.2987013,364.9,-21.894,109.9,-0.05,0.03029487
12/1/2002,0.014,1.5918958,356.48,-21.3888,109.8,0.01,0.032892351
1/1/2003,0.034,2.16450216,370.01,-22.2006,109.8,0.09,0.064979738
2/1/2003,0.023,1.87319885,361.32,-21.6792,109.8,-0.02,0.033296351
3/1/2003,0.029,1.72661871,364.55,-21.873,109.8,0.01,0.020846351
4/1/2003,0.027,1.57367668,374.63,-22.4778,109.8,0.04,0.021591078
5/1/2003,0.027,1.85714286,403.82,-24.2292,109.8,0.04,0.030420738
6/1/2003,0.021,1.71919771,461.82,-27.7092,109.8,-0.04,0.005586661
7/1/2003,0.014,1.71919771,484.11,-29.0466,109.8,0,0.01955941
8/1/2003,0.015,2.29226361,537.71,-32.2626,109.8,0.05,0.022663304
9/1/2003,0.018,1.71184023,578.98,-34.7388,109.3,-0.01,-0.000714006
10/1/2003,0.025,1.42045455,639.45,-38.367,108.4,0.01,0.024981319
11/1/2003,0.015,1.85185185,646.03,-38.7618,108.4,0.01,0.028695558
12/1/2003,0.015,1.85185185,772.15,-46.329,108.4,0.01,0.036044002
1/1/2004,0.037,1.41242938,698.9,-41.934,108.4,0.03,0.031587539
2/1/2004,0.024,2.26308345,716.3,-42.978,108.4,0.07,0.029854092
3/1/2004,0.024,2.54596888,647.3,-38.838,108.1,0.02,0.022063215
4/1/2004,0.028,2.53521127,648.15,-38.889,108.1,0.06,0.027265359
5/1/2004,0.026,2.52454418,641.05,-38.463,108.1,0.04,0.0299188
6/1/2004,0.021,3.23943662,646.64,-38.7984,108.1,0.02,0.028225402
7/1/2004,0.014,3.38028169,636.7,-38.202,108.1,0.01,0.020942571
8/1/2004,0.015,3.08123249,624.59,-37.4754,108.1,0.05,0.003724011
9/1/2004,0.018,3.50631136,644.67,-38.6802,108.1,0.04,0.02603461
10/1/2004,0.016,3.36134454,628.16,-37.6896,108.1,0,0.021986541
11/1/2004,0.015,2.93706294,656.73,-39.4038,108.1,-0.04,0.022488061
12/1/2004,0.015,2.93706294,668.1,-40.086,108.1,0,0.018086783
1/1/2005,0.033,2.50696379,701.91,-42.1146,108.1,0.01,0.020309395
2/1/2005,0.023,2.35131397,741.55,-44.493,108.1,0.06,0.023365665
3/1/2005,0.021,3.17241379,681.49,-40.8894,108.1,0.08,0.020780454
4/1/2005,0.022,3.43406593,658.88,-39.5328,106.3,0.08,0.018648875
5/1/2005,0.02,3.69357045,667.55,-40.053,106.3,0.06,0.014694452
6/1/2005,0.019,3.6834925,675.5,-40.53,106.3,0.03,0.019691958
7/1/2005,0.014,5.17711172,675.67,-40.5402,106.3,0.16,0.020825952
8/1/2005,0.014,5.57065217,697.85,-41.871,106.3,0.07,0.018197356
9/1/2005,0.013,5.96205962,723.23,-43.3938,104.9,0.07,0.019402593
10/1/2005,0.018,6.36856369,682.62,-40.9572,104.9,0.03,0.028895574
11/1/2005,0.012,5.8423913,667.75,-40.065,104.9,-0.07,0.024044221
12/1/2005,0.014,5.70652174,713.73,-42.8238,101.6,-0.01,0.022783088
1/1/2006,0.022,5.97826087,762.63,-45.7578,101.6,0.02,0.031992234
2/1/2006,0.016,5.54054054,744.05,-44.643,101.6,0.03,0.030158806
3/1/2006,0.018,5.61497326,733.25,-43.995,101.6,0.1,0.013160932
4/1/2006,0.021,6.10889774,768.29,-46.0974,101.6,0.12,0.01135132
5/1/2006,0.014,6.2005277,709.43,-42.5658,101.5,0.07,0.011262497
6/1/2006,0.015,5.92105263,678.13,-40.6878,101.5,0,0.008048216
7/1/2006,0.011,4.53367876,691.49,-41.4894,101.5,0.02,0.009745518
8/1/2006,0.014,3.86100386,690.9,-41.454,101.5,0.01,0.00921059
9/1/2006,0.012,2.81329923,686.1,-41.166,101.5,-0.03,-0.004151345
10/1/2006,0.017,2.92993631,722.46,-43.3476,101.5,0.04,-0.010185948
11/1/2006,0.012,3.59435173,739.06,-44.3436,101.4,-0.01,0.013961891
12/1/2006,0.01,3.72750643,679.84,-40.7904,101.4,-0.01,0.019318365
1/1/2007,0.016,3.07692308,654.04,-39.2424,101.4,-0.03,0.014378287
2/1/2007,0.015,2.56081946,677.13,-40.6278,101.4,-0.04,0.018720515
3/1/2007,0.016,2.02531646,673.71,-40.4226,101.4,0.07,0.017059592
4/1/2007,0.017,1.75219024,699.16,-41.9496,101.4,0.1,0.010779216
5/1/2007,0.016,1.86335404,737.4,-44.244,101.4,0.08,0.004191143
6/1/2007,0.014,1.86335404,776.79,-46.6074,101.3,0,0.009439066
7/1/2007,0.012,1.61090458,859.76,-51.5856,101.3,0,0.019014031
8/1/2007,0.012,0.9913259,813.21,-48.7926,101.3,-0.05,0.002256279
9/1/2007,0.012,1.99004975,845.5,-50.73,101.3,0.06,-0.003364591
10/1/2007,0.0141,2.35148515,907.28,-54.4368,101.2,0.09,0.000457245
11/1/2007,0.011,2.9739777,846.44,-50.7864,101.1,0.04,0.015587839
12/1/2007,0.0085,2.9739777,858.1,-51.486,101.1,0.01,0.019847838
1/1/2008,0.0172,4.35323383,784.23,-47.0538,101.1,0.08,0.03218116
2/1/2008,0.0153,5.36828964,845.76,-50.7456,101,0.07,0.034448692
3/1/2008,0.0152,5.33498759,817.03,-49.0218,101,0.06,0.015752156
4/1/2008,0.0146,6.1500615,832.45,-49.947,101,0.18,-0.000464907
5/1/2008,0.0147,7.68292683,833.65,-50.019,101,0.21,0.008742211
6/1/2008,0.0116,8.65853659,768.59,-46.1154,100.9,0.12,0.012888093
7/1/2008,0.013,9.14634146,676.32,-40.5792,100.9,0.03,0.017490485
8/1/2008,0.012,6.62576687,684.44,-41.0664,100.9,-0.3,0.010151713
9/1/2008,0.011,6.09756098,596.54,-35.7924,100.9,0.02,0.015863805
10/1/2008,0.012,3.8694075,416.53,-24.9918,100.9,-0.12,0.017779512
11/1/2008,0.014,2.16606498,401.84,-24.1104,100.9,-0.12,0.013619253
12/1/2008,0.014,0.48134777,449.96,-26.9976,100.9,-0.16,-0.004950941
1/1/2009,0.024,-0.47675805,437.69,-26.2614,100.8,0,0.014831442
