Date,ConsumerPriceIndex,Production: Southern: Palm Oil: Crude,Motor Vehicle Production: Passenger Car: 2001 to 2500 cc,Motor Vehicle Production: Passenger Car: Total,Motor Vehicle Production: Passenger Car: Less than 1500 cc,Motor Vehicle Production: Passenger Car: 1501 to 1800 cc,Motor Vehicle Production: Passenger Car: 1801 to 2000 cc,Motor Vehicle Production: Passenger Car: 2000 cc and Above,"Motor Vehicle Production: Total, excludes Motorcycle",Motor Vehicle Production: Truck: 10 Tons and Above,Motor Vehicle Production: Truck: 5 to 10 Tons,Motor Vehicle Production: Truck: Less Than 5 Tons,Motor Vehicle Production: Truck: Pick Up: Above 1 Ton,Motor Vehicle Production: Truck: Total,Govt Revenue: Gross: Customs Dept: Others,Govt Revenue: Gross: Excise Dept: Others Tax (OT),Govt Revenue: Gross: Excise Dept: OT: Perfume,Govt Revenue: Gross: Excise Dept: Miscellaneous,Govt Revenue: Gross: Customs Dept: Import Duties,Govt Revenue: Gross: Customs Dept: Export Duties,Govt Revenue: Gross: Total,Govt Revenue: Gross: Revenue Dept,Govt Revenue: Gross: Excise Dept,Govt Revenue: Gross: Customs Dept,Govt Revenue: Gross: Other Sections (OS),Govt Revenue: Gross: OS: Other Government Sections,Govt Revenue: Gross: OS: State Enterprises,Govt Revenue: Gross: Revenue Dept: Personal Income Tax,Govt Revenue: Gross: Revenue Dept: Corporate Income Tax,Govt Revenue: Gross: Revenue Dept: Value Added Tax,Govt Revenue: Gross: Revenue Dept: Specific Sale Tax,Govt Revenue: Gross: Revenue Dept: Stamp Duties,Govt Revenue: Gross: Revenue Dept: Others,Govt Revenue: Gross: Excise Dept: Tobacco Tax,Govt Revenue: Gross: Excise Dept: Petroleum & Pet Production Tax,Govt Revenue: Gross: Excise Dept: Beer Tax,Govt Revenue: Gross: Excise Dept: Alcoholic Tax,Govt Revenue: Gross: Excise Dept: Non Alcoholic Tax,Govt Revenue: Gross: Excise Dept: Automobile Tax,Govt Revenue: Net,Govt Revenue: Net Revenue after VAT Allocation for Local Admin Org,No of New Applicants: Male,No of New Applicants: Female,No of New Applicants: Bangkok,No of New Applicants: Other Regions,No of Job Vacancies: Female,No of Job Vacancies: Non-Specific,No of Job Vacancies: Bangkok,No of Job Vacancies: Other Regions,No of Job Vacancies: Male,No of Job Placement: Bangkok,No of Job Placement: Other Regions,No of Aliens Work Permit: Life Long Permit,No of Aliens Work Permit: Investment Promotion,No of Aliens Work Permit: Temporary,No of Aliens Work Permit: Illegal Immigrant,No of Aliens Work Permit: Bangkok: Investment Promotion,No of Aliens Work Permit: Bangkok: Temporary,No of Aliens Work Permit: Bangkok: Illegal Immigrant,No of Aliens Work Permit: Other Regions: Life Long Permit,No of Aliens Work Permit: Other Regions: Investment Promotion,No of Aliens Work Permit: Other Regions: Temporary,No of Aliens Work Permit: Other Regions: Illegal Immigrant,BOT: No of Registered Applicants,BOT: No of Job Vacancies,BOT: No of Job Placements,BOT: No of Overseas Thai Worker: Others,BOT: No of Overseas Thai Worker: Israel,BOT: No of Overseas Thai Worker: Japan,BOT: No of Overseas Thai Worker: Malaysia,BOT: No of Overseas Thai Worker: Singapore,BOT: No of Overseas Thai Worker: Taiwan,BOT: Inward Remittances,Motor Vehicle Sales: TMT: Passenger Car,Motor Vehicle Sales: TMT: Commercial Vehicle (CV),Motor Vehicle Sales: TMT: CV: One Ton Pickup,"CPI: FB: CH: Rice, Flour & Cereal (RF)",CPI: FB: CH: Meats Poultry & Fish (MF),CPI: FB: CH: Eggs and Dairy Products,CPI: FB: CH: Vegetables and Fruits,CPI: FB: CH: Seasoning and Condiments (SC),CPI: FB: CH: Non Alcoholic Beverages,CPI: FB: Prepared Food,CPI: Apparel & Footwears (CF),CPI: Housing & Furnishing (HF),CPI: HF: Shelter,CPI: HF: Shelter: House Rent,"CPI: HF: Electricity, Fuel, Water Supply",CPI: HF: Textile of House Furnishing,CPI: HF: Cleaning Supplies,CPI: Medical & Personal Care (HP),CPI: HP: Medical Care,CPI: HP: Personal Care Expenses,CPI: Transport & Communication (TC),CPI: TC: Public Transportation Services,CPI: TC: Vehicles & Vehicle Operation,CPI: TC: Communication and Equipments,"CPI: Recreation, Reading, Education and Religion (RR)",CPI: Tobacco & Alcoholic Beverages (TA),CPI: Non Food & Beverages (NFB),CPI: NFB: Exclude Food and Energy,CPI: NFB: Food Exclude Raw Food
01/1995,53.20,25368.00,1542.00,8377.00,3450.00,3066.00,319.00,1542.00,34524.00,1782.00,942.00,150.00,21398.00,25884.00,111.90,10.00,4.90,13.10,9446.93,0.50,61093.43,31855.50,12516.90,9559.33,7161.70,2977.10,4184.60,9507.00,4436.50,14601.70,2726.50,415.80,17.20,1310.00,4641.20,1319.60,1620.40,552.00,2976.20,56636.35,56636.35,7383.00,6776.00,5067.00,9092.00,37601.00,9222.00,6347.00,52854.00,12378.00,4730.00,5614.00,121750.00,16045.00,30977.00,8942.00,8847.00,28585.00,224.00,37258.00,7198.00,2392.00,8718.00,14159.00,59201.00,10344.00,2512.00,797.00,1072.00,966.00,1203.00,6028.00,2219.00,10559.00,26404.00,21540.00,30,38,52,20,51,61,49,79,77,86,88,52,79,73,67,70,63,58,51,47,104,77,33,66,73,50
02/1995,53.60,26183.00,1554.00,9843.00,5019.00,2893.00,377.00,1554.00,39222.00,2249.00,848.00,214.00,24052.00,28969.00,163.20,13.00,4.70,7.20,9472.90,0.60,57043.50,27905.40,12114.40,9636.70,7387.00,4010.80,3376.20,7098.00,5681.60,12272.50,2104.80,385.40,12.60,1295.60,4242.20,1160.80,1537.50,498.30,3274.20,53242.03,53242.03,6905.00,6219.00,4949.00,8175.00,16477.00,11125.00,6643.00,33647.00,12688.00,4411.00,5067.00,121749.00,15931.00,35098.00,10431.00,8968.00,28644.00,245.00,37258.00,6963.00,6454.00,10186.00,13124.00,40290.00,9478.00,3327.00,1908.00,887.00,297.00,1985.00,17212.00,2104.00,12674.00,28831.00,23179.00,30,38,52,20,51,61,49,79,77,86,88,52,79,73,67,70,63,58,51,48,104,77,33,67,73,50
03/1995,53.80,32645.00,1419.00,11693.00,5548.00,4088.00,638.00,1419.00,45054.00,2701.00,1192.00,136.00,27604.00,33026.00,112.70,13.80,5.50,6.80,11610.40,1.40,65446.50,29920.00,14943.30,11724.50,8858.70,4524.20,4334.50,9077.00,3963.60,14203.70,2099.50,470.90,21.80,2179.80,5034.00,1749.60,1503.30,659.90,3696.40,58802.05,58802.05,7075.00,6609.00,4828.00,8856.00,16127.00,14230.00,7149.00,38274.00,15066.00,4574.00,5805.00,121748.00,16413.00,35836.00,10202.00,9150.00,28762.00,265.00,37258.00,7263.00,7074.00,9937.00,13684.00,45423.00,10379.00,2542.00,1714.00,878.00,1491.00,323.00,10570.00,2410.00,16291.00,33765.00,25841.00,30,39,52,20,51,61,49,79,78,87,88,53,79,74,68,70,63,58,51,48,104,77,33,67,73,50
04/1995,54.10,32202.00,1277.00,9025.00,4122.00,3356.00,270.00,1277.00,35535.00,2292.00,962.00,60.00,21713.00,26245.00,81.00,14.10,6.80,5.10,8980.90,0.50,58016.90,29174.40,13279.60,9062.40,6500.50,2385.00,4115.50,7554.00,5173.60,13545.20,2444.90,357.60,22.10,2044.50,4587.20,1111.30,1469.10,583.00,3329.00,52848.00,52848.00,6720.00,6197.00,4415.00,8502.00,20327.00,10676.00,7254.00,37195.00,13446.00,4147.00,4788.00,121746.00,16206.00,36029.00,10665.00,9187.00,29229.00,265.00,37258.00,7019.00,6800.00,10400.00,12917.00,44449.00,8935.00,3209.00,566.00,332.00,719.00,1068.00,8474.00,2402.00,12264.00,28714.00,22531.00,30,40,53,20,51,61,50,80,78,87,89,53,79,74,68,71,63,59,51,48,104,78,33,67,73,51
05/1995,54.50,37241.00,37241.00,11504.00,5178.00,4449.00,389.00,1488.00,45161.00,2855.00,1353.00,86.00,27599.00,33432.00,168.20,14.10,5.40,6.40,11164.70,1.00,115148.50,80409.20,13576.10,11333.90,9829.30,3924.90,5904.40,7147.00,54158.80,13774.50,2158.30,429.30,35.00,2018.40,5158.20,1152.90,1523.40,686.00,2897.70,109070.54,109070.54,7108.00,6371.00,4904.00,8575.00,14571.00,11674.00,6421.00,32293.00,12469.00,4615.00,4832.00,121746.00,16772.00,36673.00,10637.00,9269.00,29631.00,295.00,37258.00,7503.00,7042.00,10342.00,13479.00,38714.00,9447.00,3438.00,772.00,499.00,1298.00,1217.00,8684.00,3073.00,14974.00,34989.00,27412.00,30,41,53,21,51,61,50,81,78,88,89,53,79,74,68,71,64,58,51,48,104,81,35,68,74,51
06/1995,55.00,37307.00,1422.00,10856.00,4478.00,4407.00,549.00,1422.00,47379.00,2929.00,1420.00,104.00,29494.00,36209.00,105.90,14.40,6.40,6.40,10843.40,0.60,59860.60,29923.40,12750.00,10949.90,6237.30,2997.70,3239.60,7102.00,5305.30,14385.00,2522.90,454.30,22.50,1630.60,4152.80,1282.10,1517.10,554.50,3477.90,53522.75,53522.75,5951.00,5137.00,4652.00,6436.00,10999.00,11860.00,14164.00,22366.00,13671.00,4305.00,4265.00,121745.00,17081.00,37127.00,11250.00,9354.00,29825.00,327.00,37258.00,7727.00,7302.00,10923.00,11088.00,36530.00,8570.00,2855.00,607.00,434.00,612.00,1814.00,9506.00,2532.00,15292.00,38091.00,29825.00,31,42,54,20,51,63,51,81,79,88,90,54,79,74,68,71,64,59,51,48,104,82,35,69,75,51
07/1995,55.40,40606.00,1664.00,10724.00,4519.00,4128.00,413.00,1664.00,43785.00,2987.00,1311.00,79.00,27088.00,32854.00,92.20,11.70,5.40,4.00,10869.50,0.50,72891.60,31671.50,13393.30,10962.20,16864.60,3164.80,13699.80,8202.00,5675.50,14477.00,2681.20,451.90,18.60,1643.00,5022.10,1435.40,1523.20,522.00,3113.90,68275.58,68275.58,6630.00,5578.00,4654.00,7554.00,12266.00,9534.00,6850.00,26332.00,11382.00,4953.00,3713.00,121744.00,17373.00,37229.00,10699.00,9474.00,29792.00,338.00,37258.00,7899.00,7437.00,10361.00,12208.00,33182.00,8666.00,3124.00,326.00,773.00,903.00,709.00,8607.00,2434.00,12968.00,32605.00,25793.00,31,42,54,20,51,63,51,82,80,89,90,55,80,74,69,71,64,59,51,49,104,82,35,69,75,51
08/1995,55.60,39838.00,667.00,11701.00,5540.00,4978.00,516.00,667.00,47661.00,2700.00,1408.00,119.00,29702.00,35734.00,126.20,12.10,5.60,5.60,11725.70,0.60,108106.20,77530.50,13031.10,11852.50,5692.10,4791.00,901.10,6813.00,53033.10,14608.80,2508.60,503.10,16.00,1829.50,4535.10,1157.50,1516.60,572.20,3300.30,103180.17,103180.17,6816.00,5477.00,5437.00,6856.00,13618.00,8280.00,7005.00,26446.00,11553.00,5635.00,3781.00,121741.00,17594.00,36972.00,8868.00,9783.00,29979.00,388.00,37258.00,7811.00,6993.00,8480.00,12293.00,33451.00,9416.00,3295.00,509.00,682.00,917.00,1359.00,12262.00,2269.00,15596.00,34199.00,27502.00,33,42,55,20,52,63,52,82,80,90,91,54,80,75,69,72,64,59,52,49,104,83,35,69,75,52
09/1995,56.10,39125.00,1198.00,9937.00,4864.00,3275.00,600.00,1198.00,45553.00,2534.00,1730.00,126.00,29335.00,35382.00,118.90,16.10,6.70,4.80,10462.90,1.00,60023.90,30349.30,12643.00,10582.80,6448.80,2994.90,3453.90,7591.00,5447.20,13918.80,2757.40,473.80,16.70,1899.40,4318.60,1142.40,1510.40,464.60,3166.10,53481.04,53481.04,7044.00,5243.00,5596.00,6691.00,11759.00,9936.00,6916.00,27050.00,12271.00,5193.00,3588.00,121741.00,18003.00,39576.00,12315.00,9885.00,30410.00,406.00,37258.00,8118.00,9166.00,11909.00,12287.00,33966.00,8781.00,2611.00,906.00,738.00,770.00,1486.00,12112.00,2414.00,12494.00,32974.00,26813.00,33,42,55,22,52,63,52,82,80,90,91,55,80,75,69,72,65,59,52,48,104,83,35,69,75,53
10/1995,56.60,38900.00,1704.00,10487.00,3920.00,4319.00,544.00,1704.00,47058.00,2465.00,1779.00,204.00,30356.00,36291.00,77.47,11.39,5.62,10.11,10834.54,0.81,56371.97,29932.82,12396.78,10912.82,3129.55,2048.10,1081.45,7133.00,4947.30,14700.20,2658.12,404.32,36.70,1809.47,4421.06,1135.76,1648.84,534.29,2715.11,56371.97,56371.97,5857.00,4525.00,3848.00,6534.00,11942.00,8798.00,4984.00,28422.00,12666.00,3280.00,4071.00,121741.00,18214.00,38921.00,13021.00,10038.00,30877.00,436.00,37258.00,8176.00,8044.00,12585.00,10382.00,33406.00,7351.00,2795.00,361.00,807.00,940.00,1743.00,10725.00,2473.00,11328.00,33898.00,26462.00,34,42,55,24,52,63,53,83,80,91,92,54,80,75,69,72,65,59,52,48,104,83,35,69,76,53
