Unemployment rate,Inflation: GDP Deflator,CPI: Housing & Furnishing (HF),Consumer Price Index,CPI: Food & Non Alcoholic Beverages (FB),CPI: Apparel & Footwears (CF),CPI: Tobacco & Alcoholic Beverages (TA),CPI: Transport & Communication (TC),"CPI: Recreation, Reading, Education and Religion (RR)",CPI: Medical & Personal Care (HP)
0,0.0112,81.3,55.6,40.5,79.4,36.6,53.4,83.9,73.1
0,0.0112,81.8,55.8,40.5,79.9,36.6,53.4,84.3,73.1
0,0.0112,82.5,56.1,40.6,80.2,37.8,53.7,84.9,73.5
0,0.0112,83.2,57.3,41.8,81.1,40.5,54,85.2,74.6
0.0131,0.015,84.1,57.9,42.2,82,40.5,54.5,85.6,75.8
0,0.015,86.2,59.9,44.2,83.9,40.5,55.5,86.5,77.6
0.0082,0.015,88.2,61.7,45.8,84.9,40.7,55.7,86.8,78.8
0,0.015,89.2,62.4,46.4,85.3,40.5,55.8,87.3,80.7
0,0.0242,89.5,62.6,46.9,85.3,41,58.3,87.7,82.4
0,0.0242,89.9,64.8,48.4,86.9,41.7,65.1,92.2,84.2
0.0072,0.0242,92.6,66,49.2,88.8,41.7,65.4,95,85.8
0,0.0242,94.8,67.1,49.9,91.5,41.7,65.7,95.5,86.3
0.0121,0.0216,96.3,67.3,49.6,93.7,42,67.3,96.9,87.5
0,0.0216,98.1,69.5,51.5,95.7,42.3,68.8,100.2,89.7
0.0089,0.0216,102.5,73.1,54.4,102.4,42.7,80.5,102.7,91.4
0,0.0216,106.4,76.4,56.7,108.8,43.9,81.3,109,93.1
0,0.0318,114.5,80.7,59.1,113.6,44.7,86.4,115.1,105.3
0,0.0318,119.5,85.6,63.8,119.6,48.1,89.5,122.5,109
0.009,0.0318,121.3,87.1,64.6,123.2,48.1,95.1,124.4,110.1
0,0.0318,125,89.4,65.8,125.2,48,98.6,125.8,111.7
0.0181,0.0209,130.7,92.8,67.5,128.6,49.2,111.9,127.6,116
0,0.0209,134.3,96.4,70.3,132,52.5,120,135.2,119.6
0.0087,0.0209,137.9,97.5,70.6,134.1,54,120.7,136,121.7
0,0.0209,141.6,99.6,72.3,135.4,55.4,121.8,138,123.2
0,0.0126,144.6,100.4,71.8,137.2,61.9,122.8,138.7,125.7
0,0.0126,144.8,101.3,72.3,139.3,62.1,123.4,145.6,127.1
0.0356,0.0126,146.4,101.7,71.7,141,62.1,124.4,148.6,128.9
0,0.0126,148.3,103.2,72.7,141.6,62.1,127.4,148.6,130.1
0,0.0091,149.4,103,72.2,142.6,61.7,125.7,148.2,130.7
0,0.0091,150.8,105.1,75.7,144.9,60,124.8,148.7,131.7
0,0.0091,154.3,106.8,77,145.9,60,124.8,149.1,132.6
0,0.0091,155.3,107.4,78.1,146.3,60,124.9,148.1,133.4
0.0654,0.0036,156.5,106.2,75.3,146.6,60,125,148,134
0.0591,0.0036,157.7,106.9,75.6,148,60,125.4,150.4,135.9
0.0228,0.0036,158.5,106.4,74.7,148.9,60.6,125.4,151.8,137
0,0.0036,160.6,106.5,73.6,149.3,60.9,125.7,152,139.1
