Year,Unemployment Rate: Monthly: Thailand,Producer Price Index: YoY: Monthly: Thailand,Consumer Price Index: YoY: Monthly: Thailand,Equity Market Index: Month End: SET,Consumer Price Index,CPI: Food & Non Alcoholic Beverages (FB),"CPI: FB: CH: Rice, Flour & Cereal (RF)",CPI: FB: CH: Meats Poultry & Fish (MF),CPI: FB: CH: Eggs and Dairy Products,CPI: FB: CH: Vegetables and Fruits,CPI: FB: CH: Seasoning and Condiments (SC),CPI: FB: CH: Non Alcoholic Beverages,CPI: FB: Prepared Food,CPI: Apparel & Footwears (CF),CPI: Housing & Furnishing (HF),CPI: HF: Shelter,"CPI: HF: Electricity, Fuel, Water Supply",CPI: HF: Textile of House Furnishing,CPI: HF: Cleaning Supplies,CPI: Medical & Personal Care (HP),CPI: HP: Medical Care,CPI: HP: Personal Care Expenses,CPI: Transport & Communication (TC),CPI: TC: Public Transportation Services,CPI: TC: Vehicles & Vehicle Operation,"CPI: Recreation, Reading, Education and Religion (RR)",CPI: Tobacco & Alcoholic Beverages (TA),CPI: Non Food & Beverages (NFB),CPI: NFB: Exclude Food and Energy,CPI: NFB: Food Exclude Raw Food,Non Core CPI: Raw Food and Energy,Non Core CPI: Raw Food and Energy: Raw Food,Non Core CPI: Raw Food and Energy: Energy,Core Consumer Price Index,CPI: TC: Communication and Equipments,MoC: Exports: Custom Basis,MoC: Exports: Custom Basis: USD,Exports: Agricultural Products,Exports: Agro Industrial Products,Exports: Principle Manufacturing Products,Exports: Mineral Products and Fuel,Exports: USD: Agricultural Products,Exports: USD: Agro Industrial Products,Exports: USD: Principle Manufacturing Products,Exports: USD: Mineral Products and Fuel,"Exports: USD: Other, Special Transaction and Articles",Exp: Agricultural Products (AP),Exp: Agro Industrial Products (AIP),Exp: Principle Manufacturing Products (PMP),Exp: Mineral Products & Fuel (MPF),"Exp: Other, Special Transaction & Articles",Exp: USD: Agricultural Products (AP),Exp: USD: Agro Industrial Products (AIP),Exp: USD: Principle Manufacturing Products (PMP),Exp: USD: Mineral Products & Fuel (MPF),"Exp: USD: Other, Special Transaction & Articles",MoC: Imports: Custom Basis,MoC: Trade Balance: Custom Basis,MoC: Imports: Custom Basis: USD,MoC: Trade Balance: Custom Basis: USD,Imports: Fuel Lubricants,Imports: Capital Goods,Imports: Raw Materials and Intermediate Products,Imports: Consumer Goods,Imports: Vehicles and Transport Accessories,"Imports: Arms, Munitions Used in Official Services",Imports: USD: Fuel Lubricants,Imports: USD: Capital Goods,Imports: USD: Raw Materials and Intermediate Products,Imports: USD: Consumer Goods,Imports: USD: Vehicles and Transport Accessories,"Imports: USD: Arms, Munitions Used in Official Services",Imp: Fuel Lubricants (FL),Imp: Capital Goods (CG),Imp: Raw Materials & Intermediate Products (MIP),Imp: Consumer Goods (CSG),Imp: Vehicles & Transport Accessories (VTA),"Imp: Arms, Munitions Used in Official Services (AMO)",Imp: USD: Fuel Lubricants (FL),Imp: USD: Capital Goods (CG),Imp: USD: Raw Materials & Intermediate Products (MIP),Imp: USD: Consumer Goods (CSG),Imp: USD: Vehicles & Transport Accessories (VTA),"Imp: USD: Arms, Munitions Used in Official Services (AMO)",Foreign Reserve: Foreign Exchange,CPI: HF: Shelter: House Rent,Reserve Requirement Ratio: Local Currency Deposits: Thailand,CPI: FB: CH: MF: Meats,CPI: FB: CH: MF: Poultry & Frog,CPI: FB: CH: Fish and Aquatic Animal,CPI: FB: Prepared Food: at Home,CPI: FB: Prepared Food: Food Away From Home,CPI: HP: Medical Care: Drugs & Medical Care (DM),CPI: HP: Medical Care: Services,CPI: TA: Tabacco Products,CPI: TA: Alcohlic Beverages,Core Consumer Price Index: Exclude House Rent,M2: YoY: Monthly: Thailand,Consumer Confidence: Net Balance: Monthly: Thailand
1/1/2001,5.7,3.55329949,1.47492625,332.77,68.8,50.7,53.2,48.9,61.9,20.6,55.9,76,64.8,96.3,90.2,95.3,77.7,94.3,74,83.9,83.8,82.1,75.5,68.6,63.9,97.2,50.7,83.4,89.2,64.8,44.1,38,56.4,81.4,110.1,222427.4895,5187.208244,24887.7602,13970.761,169575.8176,7709.2021,580.4049,325.8107,3954.6599,179.7855,146.5473,24887.7602,13970.761,169575.8176,7709.2021,6283.9487,580.4049,325.8107,3954.6599,179.7855,146.5473,239477.6114,-17050.12191,5544.746733,-357.5384892,26849.9315,78014.1418,109698.4028,17461.1332,6517.675,936.3271,621.6701,1806.301,2539.9028,404.2865,150.907,21.6793,26849.9315,78014.1418,109698.4028,17461.1332,6517.675,936.3271,621.6701,1806.301,2539.9028,404.2865,150.907,21.6793,32086.5,95.5,6,49.8,55,45.9,60.9,68.3,83,84.9,34,72,78.4,5.11756342,-18.4
2/1/2001,4.3,2.67558528,1.46842878,325.2,69.1,50.8,53.3,48.9,62.5,20.7,55.8,76,64.8,96.4,91.5,95.5,82.7,94.4,74,83.9,83.8,82.1,76.1,68.6,64.6,97.2,50.9,84.1,89.3,64.8,44.8,38,59.5,81.5,110.1,226016.0905,5261.082181,23389.1749,15879.1025,175004.8412,4888.6431,544.4408,369.6253,4073.6695,113.7952,159.5514,23389.1749,15879.1025,175004.8412,4888.6431,6854.3288,544.4408,369.6253,4073.6695,113.7952,159.5514,224990.7419,1025.34859,5199.693596,61.38858435,22096.5076,74592.9084,103083.3601,15677.0302,7635.4574,1905.4781,510.6658,1723.8943,2382.3286,362.3071,176.4608,44.0369,22096.5076,74592.9084,103083.3601,15677.0302,7635.4574,1905.4781,510.6658,1723.8943,2382.3286,362.3071,176.4608,44.0369,32483.7,95.6,6,49.8,55.3,45.7,60.9,68.3,82.9,84.9,34,72.2,78.4,4.96558862,-19.3
3/1/2001,4,1.99335548,1.46842878,291.94,69.1,50.9,53.2,48.8,63.9,20.8,55.8,76,64.8,96.5,91.5,95.5,82.7,94.4,74,84.1,83.8,82.3,76,68.6,64.6,97.2,50.9,84.1,89.3,64.8,45,38.2,59.4,81.5,110.1,256633.1894,6066.978473,22869.3695,16606.8541,198900.5842,7644.3503,540.647,392.597,4702.1415,180.7175,250.8754,22869.3695,16606.8541,198900.5842,7644.3503,10612.0314,540.647,392.597,4702.1415,180.7175,250.8754,244809.648,11823.54138,5745.356677,321.6217956,33640.0089,72131.5246,111847.7056,17759.4223,7506.5369,1924.4496,789.4862,1692.8309,2624.9168,416.79,176.1684,45.1643,33640.0089,72131.5246,111847.7056,17759.4223,7506.5369,1924.4496,789.4862,1692.8309,2624.9168,416.79,176.1684,45.1643,31646.8,95.6,6,49.8,54.8,45.6,60.9,68.4,82.9,84.9,34,72.4,78.5,5.78795027,-20.2
4/1/2001,4.1,4.52261307,2.50368189,300.63,69.6,51.2,52.7,49,64,22,55.8,76,64.8,96.7,91.6,95.5,82.7,94.4,74.3,84.2,83.8,82.5,76.7,68.6,65.4,97.2,54.8,84.6,89.9,64.8,45.8,38.9,60.4,81.9,110.1,214644.625,4893.858299,21288.5406,16189.3451,161172.7917,8395.9819,485.3748,369.1141,3674.7103,191.4269,173.2322,21288.5406,16189.3451,161172.7917,8395.9819,7597.9657,485.3748,369.1141,3674.7103,191.4269,173.2322,219367.7736,-4723.148634,4882.434312,11.42398685,23735.7436,69097.168,100472.3359,16885.7933,6847.902,2328.8308,528.2827,1537.8849,2236.1971,375.8245,152.4127,51.8324,23735.7436,69097.168,100472.3359,16885.7933,6847.902,2328.8308,528.2827,1537.8849,2236.1971,375.8245,152.4127,51.8324,31416,95.6,6,50.1,55.4,45.9,60.9,68.4,83.1,84.9,38.6,74.4,78.9,6.2268122,-21.3
5/1/2001,4.2,4.15282392,2.64705882,310.13,69.8,51.2,52.5,50.2,64.6,21.4,55.5,76.2,64.8,96.9,91.6,95.3,83.2,94.4,74,84.3,83.8,82.7,77.6,68.7,66.5,98.2,55,85.1,90,64.8,46.2,39,61.9,82,110.1,260425.6298,5751.44942,28482.1662,20856.146,192758.1344,7651.0547,629.0231,460.6039,4257.0259,168.9721,235.8244,28482.1662,20856.146,192758.1344,7651.0547,10678.1285,629.0231,460.6039,4257.0259,168.9721,235.8244,241975.8922,18449.73752,5309.982274,441.4671463,32842.7276,74855.7719,108177.3215,18730.726,6177.9175,1191.4277,720.7094,1642.6546,2373.8714,411.032,135.5698,26.145,32842.7276,74855.7719,108177.3215,18730.726,6177.9175,1191.4277,720.7094,1642.6546,2373.8714,411.032,135.5698,26.145,31349.1,95.6,6,52,56.2,46.1,60.9,68.4,83.1,84.9,38.7,74.5,79.1,6.37171049,-22.8
6/1/2001,2.4,3.9800995,2.20264317,322.55,69.6,51,52.1,50.6,65,20.2,55.7,76.2,64.9,96.9,91.7,95.2,83.8,94.4,74,84.5,83.8,82.9,76.8,68.7,65.6,98.7,55,85,90.2,64.8,45.4,38.4,60.4,82.1,110.1,252166.1815,5559.21917,25479.8956,17553.7753,191383.2921,9810.7959,561.7261,386.988,4219.2084,216.2874,175.0093,25479.8956,17553.7753,191383.2921,9810.7959,7938.4227,561.7261,386.988,4219.2084,216.2874,175.0093,221772.6221,30393.55947,4855.980339,703.2388308,27880.748,66904.1923,100609.4234,18258.8062,6265.5542,1853.8979,610.4828,1464.9484,2202.9653,399.7987,137.1919,40.5933,27880.748,66904.1923,100609.4234,18258.8062,6265.5542,1853.8979,610.4828,1464.9484,2202.9653,399.7987,137.1919,40.5933,30939.3,95.5,6,52.8,57.1,46.3,60.9,68.4,83.1,84.9,38.7,74.5,79.1,5.99696226,-21.4
7/1/2001,2.4,3.63636364,2.05278592,297.69,69.6,51.3,51.6,50.6,65.4,21.4,55.7,76.3,64.9,96.9,91.9,95.3,84.3,94.4,74.1,84.5,83.8,82.9,75.8,68.7,64.3,98.7,54.8,84.7,90.2,64.9,45.5,39.1,58.8,82.1,110.1,240579.3289,5320.197454,27090.2061,18602.016,179419.1252,7378.6735,599.0758,411.367,3967.6941,163.1728,178.8878,27090.2061,18602.016,179419.1252,7378.6735,8089.3081,599.0758,411.367,3967.6941,163.1728,178.8878,247691.9728,-7112.643911,5441.387803,-121.1903488,27648.5275,82795.005,109802.9606,18254.6819,8255.198,935.5996,607.393,1818.8709,2412.1916,401.0255,181.3532,20.5536,27648.5275,82795.005,109802.9606,18254.6819,8255.198,935.5996,607.393,1818.8709,2412.1916,401.0255,181.3532,20.5536,31209.7,95.5,6,52.7,57.8,46.4,60.9,68.5,83.1,84.9,38.7,74.1,79.1,5.72183234,-22.6
8/1/2001,2.1,2.61865794,1.31004367,335.57,69.6,51.4,50.8,50.6,66.2,21.9,55.7,76.2,64.9,97,90.8,95.2,80.4,94.3,74.7,84.6,83.8,83.1,75.8,68.6,64.3,98.7,54.8,84.3,90.3,64.8,45,39.1,56.8,82.1,110.1,261844.5029,5742.204011,29525.5208,20271.3661,194412.109,8893.9748,647.4895,444.5475,4263.4234,195.0433,191.7003,29525.5208,20271.3661,194412.109,8893.9748,8741.5322,647.4895,444.5475,4263.4234,195.0433,191.7003,234166.8223,27677.68055,5100.562456,641.641555,26164.6831,76112.9195,104340.8465,18863.9823,7340.9255,1343.4655,569.9125,1657.8723,2272.7259,410.8905,159.8982,29.263,26164.6831,76112.9195,104340.8465,18863.9823,7340.9255,1343.4655,569.9125,1657.8723,2272.7259,410.8905,159.8982,29.263,31885.3,95.4,6,52.1,58.2,46.4,60.9,68.5,82.8,84.9,38.7,74.1,79.1,5.48181992,-23.6
9/1/2001,3.4,1.62074554,1.45348837,277.04,69.8,51.1,50.2,50.4,66.4,21.2,55.7,76.2,64.9,97.2,91.9,95.2,84.3,94.4,74.9,84.5,83.8,83.1,76.8,68.6,65.6,98.6,54.8,85,90.3,64.8,45.7,38.7,60.6,82.1,110.1,245604.8001,5490.829422,26772.5027,19615.4024,179536.0988,9178.271,598.5357,438.529,4013.7737,205.1927,234.7982,26772.5027,19615.4024,179536.0988,9178.271,10502.5251,598.5357,438.529,4013.7737,205.1927,234.7982,227097.4823,18507.31773,5044.368777,446.4606457,42841.7496,60585.429,94300.0368,18684.1898,7803.1204,2882.9568,951.6159,1345.7448,2094.6254,415.0198,173.3256,64.0372,42841.7496,60585.429,94300.0368,18684.1898,7803.1204,2882.9568,951.6159,1345.7448,2094.6254,415.0198,173.3256,64.0372,31898.8,95.4,6,52.1,57.6,46.1,60.9,68.5,82.8,84.9,38.7,74.1,79.1,5.68263429,-36.8
10/1/2001,3.2,0.48543689,1.31195335,275.09,69.5,51,49.8,50.1,66.5,21.1,55.8,76.3,64.9,97.2,91.6,95.1,83.4,94.4,74.8,84.5,83.9,83.1,75.5,68.7,63.9,98.4,55,84.5,90.3,64.9,44.7,38.4,57.8,82.2,110.1,239400.3724,5435.975759,26703.4401,20316.7466,179752.4231,5736.4507,606.3451,461.3249,4081.5718,130.2555,156.4785,26703.4401,20316.7466,179752.4231,5736.4507,6891.312,606.3451,461.3249,4081.5718,130.2555,156.4785,224512.1217,14888.25075,5061.138902,374.8368574,22264.83,72969.5202,100420.5755,19106.2077,8229.3548,1521.6335,501.9123,1644.9396,2263.7641,430.708,185.513,34.3019,22264.83,72969.5202,100420.5755,19106.2077,8229.3548,1521.6335,501.9123,1644.9396,2263.7641,430.708,185.513,34.3019,32355.8,95.3,6,51.7,57.2,45.8,60.9,68.5,82.4,85,38.9,74.4,79.1,4.85196136,-32.9
